segment_id,event_id,event_start,region_id,highway,log_length_meters,oneway,sinuosity,bearing_sin,bearing_cos,vertex_count,prior_exposure_count,prior_exposure_frequency,prior_observed_events,years_since_prior_positive,target,split
osm-gaul2-73705-2801171130-6349280619-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,5.626869032387229,0.0,1.0001516048865466,0.9997180278972991,0.023745835364016518,7.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2801171130-7205253744-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.262187409694536,0.0,1.0767102881754416,-0.21060294748037048,0.9775716845902301,48.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2801171130-9234392245-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.012752028485077,0.0,1.1824006886373368,-0.6619648684420114,-0.7495348643982818,59.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2801548937-3063910874-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,4.720158208119675,1.0,1.0,0.06350582901218105,-0.9979814676042215,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2801677203-3089863866-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,3.557659673369066,1.0,1.053101166383599,-0.34472317963516896,0.9387043887306691,5.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2801677203-544505018-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.651191956469116,1.0,1.007487996716183,-0.7052948769876598,-0.7089140543782172,16.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2919721707-544509565-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,3.7668816197584754,1.0,1.0568964311603553,0.24947293589161443,0.9683817709238534,7.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-2919721707-6134234650-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,3.799928757889231,1.0,1.0,0.9292389738190844,-0.3694792680728583,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3055718892-3110402350-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,6.701413533470197,0.0,1.0971961946114317,-0.3010300457753404,0.9536146556867173,41.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3055718892-3110659784-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.280823909119302,0.0,1.0671052481527643,0.8785591625282093,0.477633539376928,63.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3055718892-3112347405-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.438773454014075,0.0,1.2304695238162136,-0.7787767802456294,-0.6273011450254581,85.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938477-5539087867-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk_link,2.3677171879318277,0.0,1.0,0.9233532478592701,0.38395153296703644,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938477-764973245-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.310470852801789,1.0,1.0000769752230438,-0.4466186493062779,0.8947244168412058,8.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938501-6145774538-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,5.6276283079093625,1.0,1.00071980375575,0.43705476265266063,-0.8994348972786338,7.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938512-3059938588-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.515444275051405,1.0,1.0448867199325031,0.6408738819582707,-0.7676461863539326,22.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938512-3059938600-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk_link,2.2919285128055167,0.0,1.0,-0.5948001278946036,-0.8038736267950102,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938516-3059938588-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk_link,2.4059536259710788,0.0,1.0,0.9664643735586792,0.25680072944177884,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938516-3059938600-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.505256267656531,1.0,1.0445681220593563,-0.6402706233739958,0.768149418306279,19.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938548-3060899458-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,3.5804029777778523,1.0,1.000015442030516,0.05932556620362335,0.9982386874864245,3.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938548-3071721372-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,6.302553039505225,0.0,1.0115334646824374,-0.9079664137791769,-0.41904294702211686,15.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938551-3088722165-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.127000179900675,1.0,1.0000724242957066,0.7405533579379552,0.6719975625304149,6.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938551-6146773404-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,2.6812954637933903,1.0,1.0172585463109205,0.5677746127561863,-0.8231840554271946,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938559-3059938561-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,3.3395347212700486,1.0,1.0783359295203374,-0.7168355457248093,-0.6972422824136634,7.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938559-3071652192-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,3.7482326798134493,1.0,1.0013819862185669,0.5318942156102993,-0.8468108073237519,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938561-544500441-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,2.2665433216467803,1.0,1.0058130231408235,-0.9927373484776288,0.12030194070590462,3.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938567-3059938548-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,5.946412263351299,1.0,1.0513267007008453,-0.1942937394216881,0.980943394300373,8.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938567-3059938572-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,2.4930401496847225,1.0,1.0115497973777186,0.7636765089685221,0.6455990935941985,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938572-3059938551-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,3.0995966705842797,1.0,1.0459541895323508,0.9949421316928572,-0.10044976148539801,6.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938588-3059938516-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk_link,2.4059536259710788,0.0,1.0,-0.9664643735586793,-0.25680072944177873,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938588-7739088908-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.372092073784967,1.0,1.086058959874694,0.8847625329423286,-0.4660421228831947,23.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938600-3059938512-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk_link,2.2919285128055167,0.0,1.0,0.5948001278946036,0.8038736267950101,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059938600-6133942178-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,4.901935877172915,1.0,1.0000160578459472,-0.7630980249157027,0.6462827588368374,3.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059949679-3059938572-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.380410630989897,1.0,1.049899765358388,0.052247232336365246,-0.9986341806253128,14.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059949679-6134415254-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk_link,2.254444717666111,0.0,1.0,-0.9809550505983946,0.19423488024940588,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059966666-7739088899-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,primary_link,3.7864597824528,0.0,1.0,-0.24189435633137019,0.9703025921716545,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059966669-7739088898-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,primary_link,3.674729818509494,0.0,1.0,-0.23495817429634835,0.9720054816364602,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3059966709-6134782950-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.23716183989181,1.0,1.0555589415588846,0.9707419945405856,-0.24012492589351392,12.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-3060053323-6145587226-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,primary,4.641164546211467,1.0,1.0000226724623285,-0.11060567121276563,0.9938643697686187,5.0,0.0,0.0,0.0,99.0,0,train
